date,mpp
2019-04-08,
2019-04-09,
2019-04-10,2.03
2019-04-11,1.71
2019-04-12,1.84
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-19,2.25
2019-04-22,
2019-04-23,1.74
2019-04-24,1.63
2019-04-29,1.91
2019-04-30,1.77
2019-05-01,1.83
2019-05-02,1.85
2019-05-03,1.72
2019-05-09,1.77
2019-05-20,1.74
2019-05-22,1.89
2019-05-23,1.84
2019-05-24,1.78
2019-05-29,1.75
2019-05-30,2.08
2019-05-31,1.82
2019-06-13,2.14
2019-06-17,1.98
2019-06-18,1.87
2019-06-19,1.76
2019-06-20,1.94
2019-06-21,1.76
2019-06-24,1.95
2019-06-25,2.26
2019-06-26,2.33
2019-06-27,1.98
2019-06-28,1.93
2019-07-01,
2019-07-02,1.4666666666666668
2019-07-15,1.8233333333333335
2019-07-16,2.1533333333333333
2019-07-24,1.6933333333333334
2019-08-01,2.0033333333333334
2019-08-02,2.04
2019-08-05,2.04
2019-08-15,1.7175
2019-08-16,1.55
2019-08-19,1.6966666666666665
2019-08-20,1.895
2019-08-21,1.7733333333333334
2019-08-22,1.9749999999999999
2019-08-27,1.74
2019-08-31,
2019-09-04,1.6666666666666667
2019-09-05,1.9366666666666668
2019-09-06,1.8033333333333335
2019-09-09,1.7433333333333334
2019-09-10,1.8233333333333335
2019-09-11,1.5066666666666666
2019-09-12,1.55
2019-09-13,1.5266666666666666
2019-09-23,1.7425000000000002
2019-09-25,1.67
2019-09-26,2.0
2019-09-27,2.19
2019-09-30,1.7433333333333334
2019-10-02,1.7966666666666666
2019-10-03,1.835
2019-10-04,1.5733333333333333
2019-10-05,1.7166666666666668
2019-10-07,1.7166666666666668
2019-10-08,1.9966666666666668
2019-10-16,1.7275
2020-01-06,1.76
2020-01-07,1.7866666666666668
2020-01-08,1.8866666666666667
2020-01-09,1.6733333333333331
2020-01-10,1.7566666666666666
2020-01-30,1.8775
2020-01-31,1.92
2020-02-07,1.9333333333333333
2020-02-10,2.0766666666666667
2020-02-11,2.1966666666666668
2020-02-12,2.17
2020-02-25,2.1666666666666665
2020-03-02,2.0500000000000003
2020-03-03,2.0533333333333332
2020-03-05,0.7233333333333333
2020-03-10,2.0733333333333333
2020-03-11,2.27
2020-03-12,1.9100000000000001
2020-03-13,2.27
2020-03-16,1.8266666666666669
2020-03-17,1.4966666666666668
2020-03-18,1.9433333333333334
2020-03-19,1.0
2020-03-23,2.27
2020-06-15,2.1
2020-06-16,2.15
2020-06-17,1.9866666666666666
2020-06-18,1.8999999999999997
2020-06-19,2.0966666666666667
2020-06-22,1.9833333333333332
2020-06-26,1.67
2020-06-27,1.97
2020-06-28,1.45
2020-06-29,1.82
2020-06-30,1.95
2020-07-02,1.9100000000000001
2020-07-03,2.033333333333333
2020-07-06,2.2066666666666666
2020-07-07,2.063333333333333
2020-07-09,1.9866666666666666
2020-07-13,2.183333333333333
2020-07-14,1.8366666666666667
2020-07-15,1.8366666666666667
2020-07-16,2.106666666666667
2020-07-17,2.1766666666666667
2020-07-21,2.036
2020-07-22,2.0933333333333333
2020-07-23,2.23
2020-07-24,2.0866666666666664
2020-07-27,2.186666666666667
2020-07-28,2.106666666666667
2020-07-29,2.283333333333333
2020-07-30,2.2466666666666666
2020-07-31,2.066666666666667
2020-08-10,1.9133333333333333
2020-08-11,2.205
2020-08-12,1.9875
2020-08-13,2.106666666666667
2020-08-14,1.9775
2020-08-17,2.18
2020-08-18,1.95
2020-08-19,2.2375
2020-08-21,
2020-10-02,2.285
2020-10-05,2.41
2020-10-06,2.305
2020-10-19,2.355
2020-10-20,1.9749999999999999
2020-10-21,2.2575
2020-10-22,2.2800000000000002
2020-10-23,2.1799999999999997
2020-10-26,2.27
2020-10-27,2.2075
2020-10-28,2.1325
2020-10-29,2.135
2020-10-30,1.045
2020-11-04,1.9300000000000002
2020-11-06,2.1875
2020-11-09,1.9566666666666668
2020-11-10,1.93
2020-11-18,1.8833333333333335
2020-11-19,1.9266666666666667
2020-11-20,2.06
2020-11-24,2.0966666666666667
2020-11-25,1.9000000000000001
2020-12-02,1.86
2020-12-03,1.7466666666666668
2020-12-04,1.8050000000000002
2020-12-07,2.0933333333333333
2020-12-08,
2020-12-10,1.95
2020-12-14,1.87
2020-12-15,1.8675000000000002
2020-12-16,1.74
2020-12-17,1.6
2020-12-22,1.89
2020-12-23,1.7875
2020-12-24,1.915
2020-12-29,1.7650000000000001
2020-12-30,1.7725
