Date,kwh
2019-04-08,1.883731
2019-04-09,1.839032
2019-04-10,1.7707073333333334
2019-04-11,1.9083516666666667
2019-04-12,1.9514783333333332
2019-04-15,1.871188
2019-04-16,1.870689
2019-04-17,1.8445253333333334
2019-04-18,2.0132369999999997
2019-04-19,1.868254
2019-04-22,2.050834333333333
2019-04-23,2.031367
2019-04-24,2.1104336666666668
2019-04-29,1.9303736666666669
2019-04-30,1.9770163333333333
2019-05-01,1.9997583333333333
2019-05-02,1.972583
2019-05-03,2.081452666666667
2019-05-06,2.0116407499999998
2019-05-07,1.91263075
2019-05-08,1.9317776666666664
2019-05-09,1.8740139999999998
2019-05-10,1.97346275
2019-05-13,2.0553775
2019-05-14,1.814235
2019-05-15,1.8166825
2019-05-16,1.7707073333333334
2019-05-17,1.89347725
2019-05-20,1.989905
2019-05-21,1.794333
2019-05-22,1.9325735
2019-05-23,1.9088669999999999
2019-05-24,1.89347725
2019-05-28,1.7707073333333334
2019-05-29,1.8740139999999998
2019-05-30,1.8332595
2019-05-31,1.987937
2019-06-03,1.9303736666666669
2019-06-04,1.972583
2019-06-05,2.1247306666666668
2019-06-06,2.0033733333333332
2019-06-07,1.8756213333333331
2019-06-10,2.280219666666667
2019-06-11,2.23
2019-06-12,2.106666666666667
2019-06-13,1.965
2019-06-14,1.775
2019-06-17,2.0066666666666664
2019-06-18,2.04
2019-06-19,1.8433333333333335
2019-06-20,2.0225
2019-06-21,1.895
2019-06-24,1.885
2019-06-25,1.96
2019-06-26,2.0324999999999998
2019-06-27,1.9425
2019-06-28,1.7966666666666669
2019-07-01,1.8225
2019-07-02,1.8966666666666667
2019-07-03,1.968
2019-07-05,1.8883333333333334
2019-07-08,1.9649999999999999
2019-07-09,1.925
2019-07-10,1.8575
2019-07-11,1.827142857142857
2019-07-12,1.9271428571428573
2019-07-15,1.9449999999999998
2019-07-16,1.8785714285714286
2019-07-17,2.1
2019-07-18,1.875
2019-07-19,1.91
2019-07-22,2.0324999999999998
2019-07-23,1.9259999999999997
2019-07-24,2.185714285714286
2019-07-29,1.975
2019-07-30,1.8525
2019-07-31,1.8775
2019-08-01,1.8199999999999998
2019-08-02,1.9314285714285713
2019-08-05,1.8233333333333333
2019-08-06,2.0300000000000002
2019-08-07,1.917142857142857
2019-08-08,1.965
2019-08-09,2.0700000000000003
2019-08-12,2.3
2019-08-13,2.265
2019-08-14,2.63
2019-08-15,2.1933333333333334
2019-08-16,2.2175000000000002
2019-08-19,2.1533333333333333
2019-08-20,1.9220000000000002
2019-08-21,1.9500000000000002
2019-08-22,1.8866666666666667
2019-08-26,2.316
2019-08-27,2.271666666666667
2019-08-29,1.98
2019-08-30,2.096
2019-09-03,2.2975
2019-09-04,2.235
2019-09-05,1.9542857142857142
2019-09-06,2.11375
2019-09-09,2.1420000000000003
2019-09-10,2.2039999999999997
2019-09-11,2.2542857142857144
2019-09-12,2.33
2019-09-13,2.384
2019-09-20,2.055
2019-09-23,2.156
2019-09-24,2.4299999999999997
2019-09-25,2.0166666666666666
2019-09-26,2.0557142857142856
2019-09-27,1.8583333333333334
2019-09-30,2.088
2019-10-02,2.088
2019-10-03,2.1719999999999997
2019-10-04,2.3899999999999997
2019-10-07,2.098
2019-10-08,2.1
2019-10-15,2.0225
2019-10-16,2.104
2019-10-17,1.9766666666666666
2019-10-18,1.9749999999999999
2019-10-21,2.135
2019-10-22,2.105
2019-10-23,1.92
2019-10-24,2.2
2019-10-25,2.25
2019-10-28,2.0300000000000002
2019-10-29,2.1128571428571425
2019-10-30,2.0742857142857143
2019-10-31,2.0500000000000003
2019-11-01,2.0033333333333334
2019-11-04,2.135
2019-11-05,1.9371428571428573
2019-11-06,2.005
2019-11-07,2.0816666666666666
2019-11-08,1.9075
2019-11-11,2.065
2019-11-12,1.9371428571428573
2019-11-13,1.9242857142857142
2019-11-14,1.8679999999999999
2019-11-15,1.8433333333333335
2019-11-18,1.9939999999999998
2019-11-19,1.8066666666666666
2019-11-20,1.8960000000000001
2019-11-21,2.092
2019-11-22,1.8624999999999998
2019-11-25,2.066
2019-11-26,2.5366666666666666
2019-11-27,2.4325
2019-12-02,2.2
2019-12-03,2.0075000000000003
2019-12-05,2.07
2019-12-06,1.9633333333333332
2019-12-09,2.15
2019-12-11,1.932857142857143
2019-12-12,1.977142857142857
2019-12-13,1.9857142857142858
2019-12-16,2.2560000000000002
2019-12-18,2.21
2020-01-06,1.83
2020-01-07,1.8925
2020-01-08,1.8025
2020-01-09,2.145
2020-01-10,2.05
2020-01-24,1.9849999999999999
2020-01-30,1.948
2020-01-31,1.8800000000000001
2020-02-04,1.9316666666666666
2020-02-06,1.968
2020-02-07,1.95
2020-02-10,1.8399999999999999
2020-02-11,1.7742857142857142
2020-02-12,1.7899999999999998
2020-02-25,1.8675000000000002
2020-03-02,1.7533333333333332
2020-03-03,1.7666666666666666
2020-03-05,1.7666666666666666
2020-03-10,1.7666666666666666
2020-03-11,1.7149999999999999
2020-03-12,1.8699999999999999
2020-03-13,1.54
2020-03-16,2.0116666666666667
2020-03-17,2.08
2020-03-18,1.8225
2020-03-19,1.7366666666666666
2020-03-20,1.605
2020-03-23,1.6125
2020-03-24,1.6375
2020-03-25,1.74
2020-03-26,1.75
2020-06-15,1.8599999999999999
2020-06-16,1.7999999999999998
2020-06-17,1.9100000000000001
2020-06-18,1.985
2020-06-19,1.745
2020-06-22,1.815
2020-06-29,1.985
2020-06-30,1.8399999999999999
2020-07-01,1.8399999999999999
2020-07-02,1.895
2020-07-03,1.7850000000000001
2020-07-06,1.7120000000000002
2020-07-07,1.7933333333333332
2020-07-09,1.875
2020-07-13,1.8333333333333333
2020-07-14,1.915
2020-07-15,1.925
2020-07-16,1.8074999999999999
2020-07-17,1.7
2020-07-21,1.7883333333333333
2020-07-22,1.7516666666666667
2020-07-23,1.7666666666666666
2020-07-24,1.78
2020-07-27,1.7
2020-07-28,1.705
2020-07-29,1.7449999999999999
2020-07-30,1.6825
2020-07-31,1.7125
2020-08-10,1.766
2020-08-11,1.688
2020-08-12,1.812
2020-08-13,1.77
2020-08-14,2.042857142857143
2020-08-17,1.8757142857142857
2020-08-18,2.0159999999999996
2020-08-19,1.83
2020-08-20,1.8233333333333335
2020-08-21,1.8725
2020-08-24,1.7100000000000002
2020-08-25,1.4733333333333334
2020-08-26,1.6039999999999999
2020-08-27,1.582
2020-08-28,1.59
2020-08-31,1.6320000000000001
2020-09-01,1.654
2020-09-02,1.636
2020-09-03,1.7240000000000002
2020-09-04,1.72
2020-09-08,1.4333333333333333
2020-09-09,1.4000000000000001
2020-09-10,1.4166666666666667
2020-09-11,1.6566666666666665
2020-09-14,1.65
2020-09-15,1.55
2020-09-16,1.5633333333333332
2020-09-17,1.5633333333333335
2020-09-18,1.62
2020-09-21,1.6166666666666665
2020-09-22,1.615
2020-09-23,1.8820000000000001
2020-09-24,1.684
2020-09-25,1.784
2020-09-28,1.794
2020-09-29,1.6066666666666667
2020-09-30,1.752
2020-10-01,1.686
2020-10-02,1.578
2020-10-05,1.766
2020-10-06,1.718
2020-10-07,1.5866666666666667
2020-10-08,1.5566666666666666
2020-10-09,1.5433333333333332
2020-10-12,1.75
2020-10-14,1.6866666666666668
2020-10-15,1.7542857142857142
2020-10-16,1.8571428571428572
2020-10-19,1.6328571428571428
2020-10-20,1.8457142857142856
2020-10-21,1.652
2020-10-22,1.747142857142857
2020-10-23,1.8266666666666669
2020-10-26,1.6228571428571428
2020-10-27,1.6414285714285715
2020-10-28,1.7785714285714285
2020-10-29,1.8
2020-10-30,1.815
2020-11-02,1.775
2020-11-03,1.8725
2020-11-04,1.9042857142857144
2020-11-05,1.764
2020-11-06,1.7685714285714285
2020-11-09,2.004285714285714
2020-11-10,1.8728571428571428
2020-11-11,1.737142857142857
2020-11-12,1.8457142857142856
2020-11-13,1.9442857142857142
2020-11-16,1.7899999999999998
2020-11-17,1.6385714285714286
2020-11-18,1.8122222222222222
2020-11-19,1.9533333333333331
2020-11-20,2.263333333333333
2020-11-24,1.912857142857143
2020-11-25,1.9514285714285715
2020-11-27,2.9233333333333333
2020-12-01,2.4066666666666667
2020-12-02,2.091666666666667
2020-12-03,2.072857142857143
2020-12-04,2.1550000000000002
2020-12-07,2.0228571428571427
2020-12-08,1.8219999999999998
2020-12-09,1.9628571428571429
2020-12-10,1.9942857142857144
2020-12-11,2.3522857142857143
2020-12-14,1.8675
