Date,Score
2020-01-01,0.9552893775231271
2020-01-02,0.9161173817107642
2020-01-03,0.9106598217174334
2020-01-06,0.9038742289815748
2020-01-07,0.8989609406220116
2020-01-08,0.8987400726950925
2020-01-09,0.8956866543047323
2020-01-10,0.8950635425975452
2020-01-13,0.9004099159163901
2020-01-14,0.8948037566140908
2020-01-15,0.8969254058393569
2020-01-16,0.8964515920045063
2020-01-17,0.9025013249593312
2020-01-20,0.9520338079360074
2020-01-21,0.8953857916211183
2020-01-22,0.894323937949045
2020-01-23,0.8964243234146126
2020-01-24,0.8938895682884075
2020-01-27,0.9007791920037478
2020-01-28,0.8967530260808093
2020-01-29,0.8968035542423689
2020-01-30,0.8957994681614783
2020-01-31,0.8943503843329144
2020-02-03,0.9019393816891244
2020-02-04,0.8976913081274895
2020-02-05,0.897171792675818
2020-02-06,0.8963395932474821
2020-02-07,0.894917718600521
2020-02-10,0.8991980296950937
2020-02-11,0.8956718442086316
2020-02-12,0.8955675509671734
2020-02-13,0.8930141448837959
2020-02-14,0.9075956203562087
2020-02-17,0.9324946998779385
2020-02-18,0.906455490326018
2020-02-19,0.9048702115811088
2020-02-20,0.9072814208843465
2020-02-21,0.9065874129534982
2020-02-24,0.9007757933049731
2020-02-25,0.895375418215847
2020-02-26,0.8922972036729389
2020-02-27,0.8943404981988288
2020-02-28,0.8956274951671658
