Date,kwh,Score
2020-01-06,1.83,0.9038742289815748
2020-01-07,1.8925,0.8989609406220116
2020-01-08,1.8025,0.8987400726950925
2020-01-09,2.145,0.8956866543047323
2020-01-10,2.05,0.8950635425975452
2020-01-24,1.9849999999999999,0.8938895682884075
2020-01-30,1.948,0.8957994681614783
2020-01-31,1.8800000000000001,0.8943503843329144
2020-02-04,1.9316666666666666,0.8976913081274895
2020-02-06,1.968,0.8963395932474821
2020-02-07,1.95,0.894917718600521
2020-02-10,1.8399999999999999,0.8991980296950937
2020-02-11,1.7742857142857142,0.8956718442086316
2020-02-12,1.7899999999999998,0.8955675509671734
2020-02-25,1.8675000000000002,0.895375418215847
